time,x,y,phi,delta,v,theta,cost
0.04,-0.3,0.0,2.0943951023931953,-0.03304528963028759,0.04,0.0,0.556159
0.08,-0.3008,0.0013856406460551018,2.094289318958716,-0.0655200959813777,0.08,0.0,0.555225
0.12,-0.30239970683539547,0.004157091176154651,2.0938693892693863,-0.09726244519181615,0.12,0.0,0.553216
0.16,-0.30479752115542946,0.008315274251325822,2.092932714287894,-0.12812174584842895,0.16,0.0,0.550172
0.2,-0.3079894123589967,0.013862510549212394,2.091283723222125,-0.15802993819212346,0.2,0.0,0.546239
0.24000000000000002,-0.31196783676520784,0.020803125741258647,2.088733983513518,-0.18694865445447648,0.24000000000000002,0.0,0.54148
0.28,-0.3167206944424366,0.02914400962128045,2.0851021599339425,-0.21477703456850572,0.28,0.0,0.53582
0.32,-0.32223031718538747,0.03889511505760708,2.080215787503824,-0.24140222785314047,0.32,0.0,0.529271
0.36,-0.3284724996131562,0.05006987047052128,2.0739129800569436,-0.2667241667975396,0.36,0.0,0.521882
0.39999999999999997,-0.33541557951152756,0.06268548149515389,2.0660438243856567,-0.29065333112962966,0.39999999999999997,0.0,0.513697
0.43999999999999995,-0.34301957034121255,0.0767630993143045,2.0564718424398283,-0.31316968035092424,0.43999999999999995,0.0,0.504828
0.4799999999999999,-0.3512353535617208,0.09232783208019595,2.0450731676177147,-0.3342778455270548,0.4799999999999999,0.0,0.49532
0.5199999999999999,-0.36000390192890475,0.10940859785730195,2.031736400370496,-0.35401215784796464,0.5199999999999999,0.0,0.485217
0.5599999999999999,-0.3692555394606597,0.128037800818809,2.0163617912891025,-0.37233861303649407,0.5599999999999999,0.0,0.474469
0.6,-0.37890922726918214,0.14825082413783736,1.9988648807830058,-0.38923609189767105,0.6,0.0,0.463111
0.64,-0.3888719730535977,0.17008528535022155,1.9791770945788643,-0.404692475991505,0.64,0.0,0.451179
0.68,-0.39903834168058505,0.19358007091936877,1.9572463154217834,-0.41872396415482965,0.68,0.0,0.438717
0.7200000000000001,-0.4092900920922218,0.21877414985664104,1.9330359813781728,-0.43137208637069036,0.7200000000000001,0.0,0.425767
0.7600000000000001,-0.41949593178049754,0.24570518838576605,1.9065236948660085,-0.4427457362268934,0.7600000000000001,0.0,0.412389
0.8000000000000002,-0.42951139468965416,0.2744079844641154,1.8776960337684627,-0.452892703492989,0.8000000000000002,0.0,0.398567
0.8400000000000002,-0.43917874387253497,0.30491277687082186,1.8465518570571624,-0.4618368677301086,0.8400000000000002,0.0,0.384323
0.8800000000000002,-0.4483271502975969,0.33724336084145073,1.8131038219054765,-0.4696010077545257,0.8799999997401204,0.0,0.369698
0.9200000000000003,-0.45677315618828923,0.371415059420283,1.7773783524529978,-0.476209801384676,0.9197172405748877,0.0,0.354178
0.9600000000000003,-0.4643190978425594,0.4074215372920139,1.7394269319503646,-0.4817261806503229,0.9557326152832637,0.0,0.331947
1.0000000000000002,-0.4707352189911598,0.4451085791031243,1.6994538467715814,-0.48620758678038806,0.9882613981172588,0.0,0.310541
1.0400000000000003,-0.47580709010349387,0.4843123170503374,1.6576680525041625,-0.48975668808815304,1.0176442471534202,0.0,0.290161
1.0800000000000003,-0.47933882451087695,0.524864586457842,1.6142695428331582,-0.4924006434879947,1.044058812228434,0.0,0.27053
1.1200000000000003,-0.4811537964647044,0.566587481398555,1.569460564945731,-0.4941643095901772,1.0676782240868317,0.0,0.251678
1.1600000000000004,-0.4810967499281119,0.609294572261729,1.5234437058107166,-0.49506932441624674,1.0886675091141822,0.0,0.233628
1.2000000000000004,-0.4790354700567816,0.6527924600027843,1.476420461662182,-0.4951336430111083,1.1071789791011921,0.0,0.216402
1.2400000000000004,-0.47486203287130613,0.6968825369916101,1.4285902863443334,-0.49437518951817705,1.1233691263017247,0.0,0.200037
1.2800000000000005,-0.468493553095899,0.7413637192559662,1.380148697900045,-0.4928102545979849,1.1373903242068708,0.0,0.184555
1.3200000000000005,-0.4598723696669413,0.7860350299110536,1.3312861042585313,-0.49048898724648615,1.1495397050528806,0.0,0.170055
1.3600000000000005,-0.44896430194954673,0.8307040405589472,1.2821762583823386,-0.4874115133022072,1.1599482067858327,0.0,0.156428
1.4000000000000006,-0.43575807622332285,0.8751828371922767,1.2329881624098546,-0.4835778544219496,1.1687401435706413,0.0,0.143679
1.4400000000000006,-0.4202643251846458,0.9192903117953543,1.1838854684965296,-0.47898838282892914,1.176033037238765,0.0,0.131806
1.4800000000000006,-0.40251425013742664,0.9628542964994805,1.1350259322779226,-0.4736439061986708,1.1819249512036418,0.0,0.120799
1.5200000000000007,-0.3825582073637102,1.0057130284132687,1.0865614722575823,-0.4675474203849494,1.1865166969442282,0.0,0.110645
1.5600000000000007,-0.3604637800924065,1.0477172100974412,1.0386371788712168,-0.46070934682676573,1.1899395438295224,0.0,0.101327
1.6000000000000008,-0.3363130008399701,1.0887326907145305,0.9913887206496118,-0.4531451668380769,1.1923555252789368,0.0,0.0928129
1.6400000000000008,-0.3101990638818981,1.1286426019448375,0.9449402681304797,-0.44485679787462756,1.1938498242928959,4.779594667990119e-12,0.0850602
1.6800000000000008,-0.28222519071388436,1.1673453959618405,0.8994089940852897,-0.4358485593498177,1.1945021814661125,1.9593013046222077e-10,0.0780319
1.7200000000000009,-0.25250249754600806,1.204755264302854,0.8549048196447833,-0.4261272294538135,1.194387118005226,7.782613670240525e-10,0.0716883
1.760000000000001,-0.22114790905190362,1.2408022713993705,0.8115302245530034,-0.41570436666795435,1.193555310521667,2.5311947003874225e-09,0.0659867
1.800000000000001,-0.18828268066700088,1.275431675235523,0.769380527185838,-0.4045923767316248,1.1920724460643877,2.7559478878301237e-08,0.0608847
1.840000000000001,-0.1540300634944625,1.3086042085047358,0.7285432654947791,-0.39281404300651435,1.1900207602669852,0.0014485733807630653,0.0563685
1.880000000000001,-0.11851293887212205,1.3402960515301485,0.6890966235234247,-0.38038621658775473,1.1874538080468278,0.0044015293152363825,0.0525768
1.920000000000001,-0.08185288013408674,1.370497286063122,0.6511113422043243,-0.36732675754163824,1.184416333080412,0.008720195287711703,0.0494183
1.960000000000001,-0.04416898135602051,1.399210890033935,0.6146511282226161,-0.35365562863633593,1.180947873546025,0.014277607229873552,0.0467926
2.000000000000001,-0.005576800830513193,1.4264517455700458,0.5797728460670493,-0.3393979509600689,1.1770709070020178,0.020959165313749084,0.0446138
2.040000000000001,0.0338120932979267,1.452245320186904,0.54652674771772,-0.32458036636968335,1.1728077939040926,0.02866055163893541,0.0428076
2.080000000000001,0.07389091381806692,1.476626729908696,0.5149565871763315,-0.309228309782433,1.1681891249688388,0.03728610986025919,0.04131
2.120000000000001,0.11455857267301718,1.4996399186049658,0.48509983737040935,-0.2933687068978569,1.1632424191380997,0.046749148843753474,0.0400669
